M,type,mean_rate,std_rate,cv_percent,is_rho_independent
2,PSK,-7.63386,2.75705,36.1161,NO
4,PSK,-11.9482,2.38282,19.943,NO
8,PSK,-9.80783,2.56137,26.1156,NO
16,PSK,-10.02,2.62998,26.2474,NO
32,PSK,-10.065,2.63551,26.185,NO
64,PSK,-10.0653,2.64108,26.2394,NO
2,PAM,-7.63446,2.75825,36.1289,NO
4,PAM,-12.0836,2.00483,16.5914,NO
8,PAM,-12.5642,1.50523,11.9803,YES
16,PAM,-12.7007,1.33173,10.4855,YES
32,PAM,-12.5359,1.17064,9.33833,YES
64,PAM,-12.4549,1.11284,8.93496,YES
128,PAM,-12.2107,1.26224,10.3372,YES
4,QAM,-8.93392,2.60287,29.1347,NO
16,QAM,-10.8832,2.54231,23.36,NO
64,QAM,-11.7107,1.92551,16.4422,NO
256,QAM,-11.4616,1.76459,15.3956,NO
