rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,6.9425542125012285e-04,1.0209449060008535e-05,2.6931447591749258e-06,2.7245631778471946e-07,1.5944362330433393e-08,3.4011642807696418e-09,2.5849601070770944e-09,1.2941329535776092e-09,5.5172548474313743e-10,4.4517001196453521e-11,6.9217132026011541e-12,7.6397221882018584e-14,5.5649929109335972e-15,0.0000000000000000e+00,-9.5007992917308144e+00
2.0000000000000001e-01,4.0412771385475721e-03,1.2980431290882111e-04,5.6615884788391302e-06,1.7879428251821317e-07,3.4688384858982957e-08,9.6246902947516588e-09,2.0812017942350991e-09,4.7354328791548994e-10,1.1118791998221411e-10,6.9537153812859742e-12,2.5880131371280868e-12,4.7739590058881731e-14,4.0523140398818214e-15,0.0000000000000000e+00,-1.1096796183332801e+01
3.0000000000000004e-01,9.1244021945810772e-03,5.8703298820086958e-04,3.3187422184499660e-05,1.8332823623901096e-06,2.8359840253955326e-08,7.8072172615684110e-09,3.7315003864613061e-10,4.2820738621607290e-10,1.6641324429578219e-10,5.4957427497726030e-12,7.3094308383758744e-13,1.6070478281449141e-14,5.5511151231257827e-15,0.0000000000000000e+00,-1.2392895474563030e+01
4.0000000000000002e-01,1.5327900634531766e-02,1.4039938395219442e-03,1.1346106269910505e-04,8.3477037223222972e-06,4.9238373905913235e-07,2.8715738897844290e-08,3.1844579195805522e-09,6.2496779973386651e-10,1.7863005519203057e-10,9.1991969597415846e-12,1.1605161276406761e-12,3.2640556923979602e-14,9.9920072216264089e-16,0.0000000000000000e+00,-1.2633929971700915e+01
5.0000000000000000e-01,2.2230866628222157e-02,2.5629331980729364e-03,2.6644574552692202e-04,2.4997287300210225e-05,2.0635136286362155e-06,1.5150868049040866e-07,1.2338252086685486e-08,1.0901485270053968e-10,1.2647438651924858e-10,1.4443446438860974e-11,6.0507154842071031e-13,2.4313884239290928e-14,2.6090241078691179e-15,0.0000000000000000e+00,-1.3236471746277488e+01
6.0000000000000009e-01,2.9541875946628771e-02,4.0197563407620152e-03,5.0203725728237281e-04,5.6876014836060307e-05,5.7957650748674538e-06,5.3057144561163838e-07,4.6139335463379894e-08,3.1461636629259715e-09,2.6187119139819970e-10,1.0686562745831907e-11,1.5776269179923474e-13,1.8374191057546341e-14,9.9920072216264089e-16,0.0000000000000000e+00,-1.3579984299576932e+01
7.0000000000000007e-01,3.7057476717145654e-02,5.7217151159738577e-03,8.2175137976586710e-04,1.0784353316833917e-04,1.2856641189662454e-05,1.3907151780179206e-06,1.3867614134799311e-07,1.2418640282785276e-08,1.0382652515517066e-09,7.4362738189392985e-13,9.9920072216264089e-15,1.7930101847696278e-14,2.1649348980190553e-15,0.0000000000000000e+00,-1.3386811562712454e+01
8.0000000000000004e-01,4.4635095928238333e-02,7.6163292100088209e-03,1.2212010276178020e-03,1.8015945179139514e-04,2.4303057409413853e-05,2.9948281063396642e-06,3.3894411094470556e-07,3.5191855540794847e-08,3.3692700296406031e-09,2.2218393791462177e-11,2.5479618415147343e-14,1.3378187446733136e-14,8.8817841970012523e-16,0.0000000000000000e+00,-1.3915801094315228e+01
9.0000000000000002e-01,5.2174932217120495e-02,9.6555741845275045e-03,1.6923546370701814e-03,2.7454601604443019e-04,4.0935864566715718e-05,5.6030496698444843e-06,7.0559804743464127e-07,8.1950905284067233e-08,8.8056711922135378e-09,8.1273210383869809e-11,2.8421709430404007e-14,1.0380585280245214e-14,4.4964032497318840e-15,0.0000000000000000e+00,-1.3835187608697590e+01
1.0000000000000000e+00,5.9607602846230678e-02,1.1797535832634098e-02,2.2252887761476936e-03,3.9045774814217005e-04,6.3237785301373250e-05,9.4379803898814174e-06,1.2994827135459630e-06,1.6547173198322440e-07,1.9547088170313032e-08,2.2069679417313637e-10,1.6997514507011147e-13,1.2545520178264269e-14,3.4416913763379853e-15,0.0000000000000000e+00,-1.3428319135777205e+01
