rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.8986942488155023e-03,1.6447378640666310e-03,7.8305722981686365e-04,3.2663927723132480e-04,1.2627538612532130e-04,4.4050854688448826e-05,1.2200450729152323e-05,9.4053746631239665e-07,2.2960711150432633e-06,2.1456247091683478e-06,6.1714029131465509e-07,2.1479559075832100e-08,1.6514474787676647e-09,0.0000000000000000e+00,-5.5182965274342157e+00
2.0000000000000001e-01,6.5307452934985355e-03,2.3167648208083369e-03,9.2654430166408397e-04,3.4101489246038397e-04,1.1847844669948815e-04,3.7137955477162254e-05,8.8783955649873736e-06,2.1236814751190991e-08,2.0761913153422018e-06,1.5226996636918955e-06,3.6460854802022880e-07,9.3346424201445899e-09,5.6807045178963733e-10,0.0000000000000000e+00,-6.3021841194856769e+00
3.0000000000000004e-01,1.3023953961883938e-02,2.2485827610817521e-03,7.9990178098526821e-04,2.5943640036479865e-04,8.0801911493622036e-05,2.2586274370406390e-05,4.5012295853963380e-06,4.6185758095784735e-07,1.3600238673028286e-06,7.9532080010658035e-07,1.5827214666641609e-07,2.9099060938619914e-09,1.4383810809093234e-10,0.0000000000000000e+00,-6.8821048440597927e+00
4.0000000000000002e-01,2.0694411414025782e-02,1.6286051628082165e-03,5.9915806047483589e-04,1.6919534614617815e-04,4.7128366901683094e-05,1.1619725887312971e-05,1.8086287207341734e-06,5.0029098508375114e-07,7.6306542345916384e-07,3.6061274338861082e-07,5.9557182074954085e-08,7.6018213945872048e-10,3.1641134157212036e-11,0.0000000000000000e+00,-7.4876065704251555e+00
5.0000000000000000e-01,2.9024991688463564e-02,6.0962328898317431e-04,4.2034151786596308e-04,9.8276687047649247e-05,2.4521036224467441e-05,5.2410045659478932e-06,5.4727038439894571e-07,3.6484953347404314e-07,3.8447773803573781e-07,1.4852966234712994e-07,2.0332858452487557e-08,1.7106183136661457e-10,6.3325455990081991e-12,0.0000000000000000e+00,-8.0241599589549040e+00
6.0000000000000009e-01,3.7636884020127104e-02,6.8525877876718377e-04,3.0377322343133617e-04,5.0016856912360463e-05,1.1475468059962690e-05,2.0580619058407912e-06,7.7530212250209729e-08,2.1613768613759632e-07,1.7607557839527388e-07,5.6152681726651110e-08,6.3642859315926614e-09,3.2246150194481515e-11,1.1631251517485452e-12,0.0000000000000000e+00,-8.7511483639326944e+00
7.0000000000000007e-01,4.6261004150646268e-02,2.1581100092028516e-03,2.6008197349675077e-04,1.9305059254459689e-05,4.8294543904536802e-06,6.6857953334720222e-07,4.3793248527546069e-08,1.0857108995177001e-07,7.2510279391924115e-08,1.9251659988395176e-08,1.8044216676393887e-09,4.5251580260696755e-12,1.9007018181582680e-13,0.0000000000000000e+00,-9.6828409195718557e+00
8.0000000000000004e-01,5.4712551563568357e-02,3.7323473684252040e-03,2.8512308345340909e-04,4.6391634855869057e-07,1.9400098819621903e-06,1.4842604889597766e-07,4.4261238119069901e-08,4.5217843136491354e-08,2.5647523105298831e-08,5.7104704298538422e-09,4.4205383797901732e-10,2.4180657476335909e-13,2.5202062658991053e-14,0.0000000000000000e+00,-1.0564267102652680e+01
9.0000000000000002e-01,6.2869860461248983e-02,5.3492924869860126e-03,3.6831149678517860e-04,1.4829296227536481e-05,1.0767980012094114e-06,9.3411748336436062e-09,1.8925596867447325e-08,1.3404495513569259e-08,6.6011631716378361e-09,1.2403666982407913e-09,7.9184214740735115e-11,8.5709217501062085e-14,9.9920072216264089e-16,0.0000000000000000e+00,-1.1534876834038849e+01
1.0000000000000000e+00,7.0657570743140941e-02,6.9650396102374224e-03,4.9711361301230106e-04,2.7646258623392761e-05,1.2581727443228274e-06,4.8445860989509981e-08,1.6164868332779747e-09,4.7594927998773073e-11,1.2612133559741778e-12,5.6621374255882984e-15,5.2180482157382357e-15,1.2101430968414206e-14,2.2204460492503131e-15,0.0000000000000000e+00,-1.4591681670105357e+01
