rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20,error_N30,error_N40,convergence_rate
1.0000000000000001e-01,1.0592465388351013e-04,3.0362086135438116e-04,1.2252859842568076e-04,3.4589587578168213e-05,7.4727714209771312e-06,4.1855798590950677e-07,1.6222209033162072e-06,1.3801651166100992e-06,8.9291375834910092e-07,2.9583292787682680e-07,4.6492528896213692e-08,2.4021486882963572e-09,6.2167354597519875e-12,0.0000000000000000e+00,-6.0054229269883184e+00
2.0000000000000001e-01,3.7375824459560947e-03,4.3578573376945595e-04,1.4397117013714711e-04,3.3439690861447602e-05,5.4039531811322927e-06,1.0905558738838472e-06,1.6459905555488152e-06,1.1797963289372770e-06,6.9138573968730022e-07,1.9624959393671482e-07,2.5753275179063451e-08,1.0670132277734723e-09,2.3966939544095567e-12,0.0000000000000000e+00,-7.1673612772958242e+00
3.0000000000000004e-01,9.6611087887346625e-03,2.3773283549705093e-04,1.2250030955845981e-04,2.2194175965828400e-05,2.3425391906251036e-06,1.2322218571614307e-06,1.1901257695456913e-06,7.3399424144193759e-07,3.9039630123083313e-07,9.5143950162857038e-08,1.0446298437383206e-08,3.4859898301320413e-10,6.6685545974110028e-13,0.0000000000000000e+00,-7.7653808568462788e+00
4.0000000000000002e-01,1.7009953147383350e-02,3.1947002317128659e-04,1.0423354324845535e-04,1.1088826955052422e-05,4.4537071536288053e-07,1.0129470628950088e-06,7.2795990330165594e-07,3.9217799463475700e-07,1.8977163462885471e-07,3.9793942085974976e-08,3.6638239664377181e-09,9.8923313984755623e-11,1.5543122344752192e-13,0.0000000000000000e+00,-8.4442057945243771e+00
5.0000000000000000e-01,2.5177146814164553e-02,1.2016525552651647e-03,1.1796054299934022e-04,2.0293025463358205e-06,2.5785652602028364e-07,6.9148189618672973e-07,3.9571047233399881e-07,1.8838900461837227e-07,8.3145405838092046e-08,1.5034867129060103e-08,1.1638844887862376e-09,2.5538293701998782e-11,3.2696068075210860e-14,0.0000000000000000e+00,-9.2889632932642385e+00
6.0000000000000009e-01,3.3740356897464019e-02,2.3487437462526017e-03,1.7757057296302614e-04,6.5428502882824979e-06,1.4698072603458456e-07,4.1820590057639606e-07,1.9333385609110465e-07,8.2249041410964452e-08,3.3189242243381045e-08,5.1877833140423490e-09,3.3874952842793959e-10,6.0624283371168985e-12,5.2735593669694936e-15,0.0000000000000000e+00,-9.4578994193615689e+00
7.0000000000000007e-01,4.2409023044215899e-02,3.6947381794122380e-03,2.8636678740984189e-04,1.6967207051910016e-05,5.1852676563601818e-07,2.4810245563555711e-07,8.2876545404175772e-08,3.2303024699587013e-08,1.1926741871892688e-08,1.6160153770705676e-09,8.9354301735511399e-11,1.3027356970951587e-12,1.5543122344752192e-15,0.0000000000000000e+00,-1.0564558260077739e+01
8.0000000000000004e-01,5.0986687745519732e-02,5.1776969207885104e-03,4.4107138393678635e-04,3.1157324656638785e-05,1.6637153830156848e-06,1.8827091263773355e-07,2.6664931596087627e-08,1.1039043346094957e-08,3.6757282773081101e-09,4.3379211334126921e-10,2.0411117240826115e-11,2.3359092438113294e-13,2.3314683517128287e-15,0.0000000000000000e+00,-1.1712860263077685e+01
9.0000000000000002e-01,5.9343974572435787e-02,6.7441026000998328e-03,6.3488523895938176e-04,5.0226324759039542e-05,3.3266257776221053e-06,2.3099520241043336e-07,2.5339894627052217e-09,3.1749405327019531e-09,8.0382511757903785e-10,8.4950713130638178e-11,3.4234837187341327e-12,2.2537527399890678e-14,2.9976021664879227e-15,0.0000000000000000e+00,-1.3093558361193084e+01
1.0000000000000000e+00,6.7399132899437997e-02,8.3501271261724463e-03,8.5958273773256710e-04,7.4513966828337885e-05,5.5786630850374053e-06,3.6853850504670049e-07,2.1824860807484470e-08,1.1719025749812317e-09,5.7544857767766189e-11,1.1324274851176597e-13,4.9960036108132044e-15,1.0658141036401503e-14,2.9976021664879227e-15,0.0000000000000000e+00,-1.4578076251152670e+01
