rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N11,error_N12,error_N13,error_N14,error_N15,error_N16,error_N17,error_N18,error_N19
-1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.7999999999999998e-01,9.7999999999999954e-01,7.1696559416620531e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.5999999999999996e-01,9.5999999999986041e-01,6.9696559428925386e-01,8.9224889886750003e-01,9.3879477618034513e-01,8.2207993388567047e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.3999999999999995e-01,9.3999999775537224e-01,6.7696581476122586e-01,8.7224889886749335e-01,9.0541954611575359e-01,8.0207993398748056e-01,8.9411220253552937e-01,7.4408402646386140e-01,8.6185080431224470e-01,7.1782542290158569e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.2000000000000004e-01,9.1999971037449835e-01,6.5697493416501507e-01,8.5224889883742050e-01,8.6975381746456737e-01,7.8207996134928481e-01,8.7408009312443802e-01,7.2421400315707229e-01,8.4185046815334685e-01,7.1339544859438919e-01,8.1055486100223118e-01,8.6012747135196554e-01,7.8135335107046811e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-9.0000000000000002e-01,8.9999469960624889e-01,6.3705397254581286e-01,8.3224889545810599e-01,8.3577745314788832e-01,7.6208072326377641e-01,8.5390678978106782e-01,7.0474794176972544e-01,8.2184553798416471e-01,7.0688731547866335e-01,7.9055527914478663e-01,8.3201333152236390e-01,7.6139385000829785e-01,8.3454205872943310e-01,7.3552834034849712e-01,8.1806150656679877e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
-8.8000000000000000e-01,1.1622700528942254e-01,1.4637565966990962e-01,4.8512346364998460e-02,4.0706979607768812e-02,2.1649135283561383e-02,6.9689308477597911e-02,7.7746718477899490e-02,3.8081854695422801e-02,6.5686100113634405e-02,6.8219187313907081e-03,4.0961825097055482e-02,2.2191199513578619e-02,4.8895221281585743e-02,4.6638887480112468e-02,3.3928167585122071e-02,5.3902147840006798e-02,1.6821497511727013e-02,1.8920821540291510e-02
-8.5999999999999999e-01,1.1599940365868511e-01,1.4573993086263803e-01,4.8391520496910645e-02,3.1727726278091728e-02,2.1740097620159604e-02,6.8648496771225642e-02,7.5755573846366886e-02,3.7876259255149813e-02,5.6561837919572033e-02,6.7140325299031023e-03,3.4677755642295471e-02,2.1949606032724334e-02,4.6225949072387196e-02,4.4395122642201357e-02,3.3079703863511778e-02,4.7243067424644902e-02,1.6507503485547081e-02,1.5783526858279329e-02
-8.3999999999999997e-01,1.1552448542524762e-01,1.4454661767913046e-01,4.8169587990569585e-02,2.4700061061996736e-02,2.1874242109821029e-02,6.7021956359125889e-02,7.2996157175020282e-02,3.7468503759169325e-02,4.9004722721689098e-02,6.5281389744105134e-03,2.9433849379082888e-02,2.1511044205316465e-02,4.3053984268450307e-02,4.1574164575117867e-02,3.1789022362357922e-02,4.1076886347615971e-02,1.5968518931409492e-02,1.3223058774567753e-02
-8.2000000000000006e-01,1.1470844612218745e-01,1.4267560846156924e-01,4.7823914161762460e-02,1.9193236232486477e-02,2.2023805934999974e-02,6.4823835601460100e-02,6.9599108289564393e-02,3.6801165713414297e-02,4.2671720962745074e-02,6.2612266051670362e-03,2.5078913060713748e-02,2.0846534378547998e-02,3.9591204679163772e-02,3.8370763440571665e-02,3.0089715726579480e-02,3.5527109415420477e-02,1.5198732469683507e-02,1.1095875147969725e-02
-8.0000000000000004e-01,1.1348339433484855e-01,1.4008045673341352e-01,4.7339170757674021e-02,1.4861159709783855e-02,2.2146037043934919e-02,6.2130296867779489e-02,6.5733146909678353e-02,3.5845029265054174e-02,3.7302036012588191e-02,5.9222091427793000e-03,2.1451035499771898e-02,1.9958386620137047e-02,3.6015760063859537e-02,3.4971016985600900e-02,2.8064207574369004e-02,3.0607928028493880e-02,1.4228789419234777e-02,9.3114921628629777e-03
-7.8000000000000003e-01,1.1181488035234022e-01,1.3678003902064606e-01,4.6705177594404179e-02,1.1440274599842870e-02,2.2195167234458246e-02,5.9048045803546501e-02,6.1565240040154401e-02,3.4600499826622833e-02,3.2699899794912501e-02,5.5270925190656905e-03,1.8409616476541268e-02,1.8874186808466087e-02,3.2462618581886482e-02,3.1528370052741450e-02,2.5816341954366551e-02,2.6284669293408558e-02,1.3110816672578185e-02,7.8068747233859259e-03
