rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,9.4935786418833684e-04,8.2235819225240370e-04,3.9153935468994039e-04,1.6330889883454242e-04,6.3148432842941027e-05,2.2014687564103630e-05,6.1109651443500002e-06,4.5952895402073812e-07,1.1372957794825167e-06,1.0620725780924323e-06,3.1930992241274714e-07,0.0000000000000000e+00
2.0000000000000001e-01,3.2653773140704639e-03,1.1583777430832221e-03,4.6327681815395982e-04,1.7050277890870436e-04,5.9243890670107602e-05,1.8564310418300867e-05,4.4438651024131248e-06,5.9510873173795886e-09,1.0334283389312748e-06,7.5668251493798966e-07,1.8697159076541681e-07,0.0000000000000000e+00
3.0000000000000004e-01,6.5119784358962374e-03,1.1242899255865246e-03,3.9995234544798475e-04,1.2971674522793686e-04,4.0402410700107749e-05,1.1291682231434619e-05,2.2520697457173444e-06,2.3238374349809909e-07,6.7855698221430671e-07,3.9620545000396135e-07,8.0591024159692992e-08,0.0000000000000000e+00
4.0000000000000002e-01,1.0347206087103822e-02,8.1430220131317732e-04,2.9957941032965341e-04,8.4597292981908323e-05,2.3564563541356165e-05,5.8094828530308451e-06,9.0469444993801496e-07,2.5052558227933730e-07,3.8115262290805418e-07,1.7992628531526833e-07,3.0158678138159090e-08,0.0000000000000000e+00
5.0000000000000000e-01,1.4512495929763808e-02,3.0481155895970002e-04,2.1017084446584011e-04,4.9138257991687695e-05,1.2260603643621248e-05,2.6204167518917298e-06,2.7372072308740059e-07,1.8251029679228203e-07,1.9215333987854244e-07,7.4179303977128797e-08,1.0251957616169705e-08,0.0000000000000000e+00
6.0000000000000009e-01,1.8818442026188154e-02,3.4262940550819354e-04,1.5188662784121343e-04,2.5008412330940200e-05,5.7377501540001319e-06,1.0290148293179424e-06,3.8781229838580344e-08,1.0808496619940655e-07,8.8021666844184665e-08,2.8060220674808178e-08,3.1982637094252198e-09,0.0000000000000000e+00
7.0000000000000007e-01,2.3130502077585852e-02,1.0790550068643101e-03,1.3004098901234218e-04,9.6525273636516307e-06,2.4147294575560529e-06,3.3428750415009922e-07,2.1894362656205146e-08,5.4287806527941740e-08,3.6252879032083740e-08,9.6235717172987734e-09,9.0446922174081124e-10,0.0000000000000000e+00
8.0000000000000004e-01,2.7356275781905859e-02,1.8661736843341714e-03,1.4256154184871805e-04,2.3195829634836684e-07,9.7000506188438251e-07,7.4212903600212599e-08,2.2130498433803325e-08,2.2609041638865790e-08,1.2823642758785780e-08,2.8551182529312769e-09,2.2114493569702631e-10,0.0000000000000000e+00
9.0000000000000002e-01,3.1434930230581692e-02,2.6746462434505403e-03,1.8415574835078941e-04,7.4146480719683439e-06,5.3839895675089622e-07,4.6705440071015403e-09,9.4628425650888914e-09,6.7022032923524932e-09,3.3006263833179617e-09,6.2023020053203481e-10,3.9545644536786995e-11,0.0000000000000000e+00
1.0000000000000000e+00,3.5328785371565419e-02,3.4825198051135486e-03,2.4855680650187617e-04,1.3823129307255488e-05,6.2908636649927629e-07,2.4222924888128716e-08,8.0823708836774699e-10,2.3790636127785092e-11,6.2333471717579414e-13,6.9944050551384862e-15,5.9952043329758453e-15,0.0000000000000000e+00
