rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N12,error_N15,error_N20
1.0000000000000001e-01,1.4334145562774347e-03,3.3178788598500764e-05,2.0909453369161168e-06,3.4766507028827220e-07,4.5134359888399089e-08,1.5576347434098636e-09,3.5246655871734589e-09,1.6477720438112797e-09,5.5611640292774212e-10,9.7504920804070139e-12,5.2975540620892048e-12,0.0000000000000000e+00
2.0000000000000001e-01,6.2470440606528788e-03,3.8442313797162897e-04,2.4317055018902023e-05,8.6496007098424421e-07,3.3497214363409356e-08,1.2915711999905710e-08,3.8611388530895852e-09,1.1646163755596461e-09,2.4082136285130673e-10,3.1406766076713666e-11,2.4900081996293011e-12,0.0000000000000000e+00
3.0000000000000004e-01,1.3365388443684623e-02,1.2771199451792614e-03,1.2026012903254557e-04,1.0184755159403647e-05,7.4470634714440820e-07,6.2750750540185862e-08,1.7008564556775241e-09,6.1968913334098374e-10,7.8654860402593840e-12,2.8823332609562158e-11,1.5171197631502764e-13,0.0000000000000000e+00
4.0000000000000002e-01,2.2059601297826859e-02,2.7770156217782893e-03,3.4514428319515345e-04,4.0752536256849492e-05,4.4344400442208887e-06,4.5487934807741937e-07,4.2104252528929464e-08,3.7971986110996170e-09,3.6121639013231288e-10,1.5458911928334373e-11,4.0079051188968151e-13,0.0000000000000000e+00
5.0000000000000000e-01,3.1824780878273673e-02,4.8701876114753406e-03,7.4002673280382236e-04,1.0861990144839240e-04,1.5082299575197577e-05,1.9697549425989891e-06,2.4059918823926552e-07,2.7487599030262544e-08,2.9867779915981885e-09,3.1457780824695192e-11,2.7489122089718876e-13,0.0000000000000000e+00
6.0000000000000009e-01,4.2304663313551760e-02,7.5050416130963971e-03,1.3292326597554860e-03,2.2924382418543221e-04,3.7871901423236487e-05,5.9368322453678957e-06,8.7838418816321706e-07,1.2230128942913865e-07,1.6043055994785504e-08,2.2873303251458310e-10,3.3772984409097262e-13,0.0000000000000000e+00
7.0000000000000007e-01,5.3243971177832194e-02,1.0614808762960504e-02,2.1225681775243199e-03,4.1535679969784134e-04,7.8407863147167411e-05,1.4143703522928597e-05,2.4233993106692608e-06,3.9297905263246946e-07,6.0219677133765970e-08,1.1897984819597696e-09,2.1913582060051340e-12,0.0000000000000000e+00
8.0000000000000004e-01,6.4457452729712150e-02,1.4129395349379070e-02,3.1187739516191915e-03,6.7606245984563884e-04,1.4200738826486425e-04,2.8645118790193713e-05,5.5149725596281840e-06,1.0093981684944353e-06,1.7523928974583214e-07,4.4923855746503705e-09,1.2395418025334948e-11,0.0000000000000000e+00
9.0000000000000002e-01,7.5809295164118939e-02,1.7981393641350318e-02,4.3088450798238753e-03,1.0167432884792271e-03,2.3320037466934007e-04,5.1546039438132851e-05,1.0914292879027343e-05,2.2047008511050237e-06,4.2378828013500680e-07,1.3432153722625628e-08,5.1782689247659164e-11,0.0000000000000000e+00
1.0000000000000000e+00,8.7199153809661700e-02,2.2108893450035416e-02,5.6787723892695041e-03,1.4394193353302054e-03,3.5545083550281298e-04,8.4809736850877115e-05,1.9437893121088123e-05,4.2619724346382171e-06,8.9158501748176633e-07,3.3707742708166677e-08,1.7168044763593571e-10,0.0000000000000000e+00
